"","gene"
"RVBD_1955","higB"
"RVBD_1956","higA"
"RVBD_1957","-"
"RVBD_1958c","-"
"RVBD_1959c","parE1"
"RVBD_1960c","parD1"
"RVBD_1961","-"
"RVBD_1961A","?"
"RVBD_1962c","vapC35"
"RVBD_1962Ac","?"
"RVBD_1963c","mce3R"
"RVBD_1963Ac","?"
"RVBD_1964","yrbE3A"
"RVBD_1965","yrbE3B"
"RVBD_1966","mce3A"
"RVBD_1967","mce3B"
"RVBD_1968","mce3C"
"RVBD_1969","mce3D"
"RVBD_1970","lprM"
"RVBD_1971","mce3F"
"RVBD_1972","-"
"RVBD_1973","-"
"RVBD_1974","-"
"RVBD_1975","-"
"RVBD_1976c","-"
"RVBD_1977","-"
"RVBD_1978","-"
"RVBD_1979c","-"
"RVBD_1980c","mpt64"
"RVBD_1981c","nrdF1"
"RVBD_1981Ac","?"
"RVBD_1982c","vapC36"
"RVBD_1982Ac","?"
"RVBD_1983","PE_PGRS35"
"RVBD_1984c","cfp21"
"RVBD_1984A","?"
"RVBD_1985c","-"
"RVBD_1986","-"
"RVBD_1987","-"
"RVBD_1988","erm(37)"
"RVBD_1989c","-"
"RVBD_1990c","-"
"RVBD_1990A","-"
"RVBD_1991c","mazF6"
"RVBD_1991Ac","?"
"RVBD_1992c","ctpG"
"RVBD_1993c","-"
"RVBD_1994c","cmtR"
"RVBD_1995","-"
"RVBD_1996","-"
"RVBD_1997","ctpF"
"RVBD_1998c","-"
"RVBD_1999c","-"
"RVBD_2000","-"
"RVBD_2001","-"
"RVBD_2002","fabG3"
"RVBD_2003c","-"
"RVBD_2004c","-"
"RVBD_2005c","-"
"RVBD_2006","otsB1"
"RVBD_2007c","fdxA"
"RVBD_2008c","-"
"RVBD_2009","vapB15"
"RVBD_2010","vapC15"
"RVBD_2011c","-"
"RVBD_2012","-"
"RVBD_2013","-"
"RVBD_2014","-"
"RVBD_2015c","-"
"RVBD_2016","-"
"RVBD_2017","-"
"RVBD_2018","-"
"RVBD_2019","-"
"RVBD_2020c","-"
"RVBD_2021c","-"
"RVBD_2022c","-"
"RVBD_2023c","-"
"RVBD_2023A","?"
"RVBD_2024c","-"
"RVBD_2025c","-"
"RVBD_2026c","-"
"RVBD_2027c","dosT"
"RVBD_2028c","-"
"RVBD_2029c","pfkB"
"RVBD_2030c","-"
"RVBD_2031c","hspX"
"RVBD_2032","acg"
"RVBD_2033c","-"
"RVBD_2034","-"
"RVBD_2035","-"
"RVBD_2036","-"
"RVBD_2037c","-"
"RVBD_2038c","-"
"RVBD_2039c","-"
"RVBD_2040c","-"
"RVBD_2041c","-"
"RVBD_2042c","-"
"RVBD_2043c","pncA"
"RVBD_2044c","-"
"RVBD_2045c","lipT"
"RVBD_2046","lppI"
"RVBD_2047c","-"
"RVBD_2048c","pks12"
"RVBD_2049c","-"
"RVBD_2050","-"
"RVBD_2051c","ppm1"
"RVBD_2052c","-"
"RVBD_2053c","fxsA"
"RVBD_2054","-"
"RVBD_2055c","rpsR2"
"RVBD_2056c","rpsN2"
"RVBD_2057c","rpmG1"
"RVBD_2058c","rpmB2"
"RVBD_2059","-"
"RVBD_2060","-"
"RVBD_2061c","-"
"RVBD_2062c","cobN"
"RVBD_2063","mazE7"
"RVBD_2063A","mazF7"
"RVBD_2064","cobG"
"RVBD_2065","cobH"
"RVBD_2066","cobI"
"RVBD_2067c","-"
"RVBD_2068c","blaC"
"RVBD_2069","sigC"
"RVBD_2070c","cobK"
"RVBD_2071c","cobM"
"RVBD_2072c","cobL"
"RVBD_2073c","-"
"RVBD_2074","-"
"RVBD_2075c","-"
"RVBD_2076c","-"
"RVBD_2077c","-"
"RVBD_2077A","-"
"RVBD_2077Bc","?"
"RVBD_2078","-"
"RVBD_2079","-"
"RVBD_2080","lppJ"
"RVBD_2081c","-"
"RVBD_2082","-"
"RVBD_2083","-"
"RVBD_2084","-"
"RVBD_2085","-"
"RVBD_2086","-"
"RVBD_2087","-"
"RVBD_2088","pknJ"
"RVBD_2089c","pepE"
"RVBD_2090","-"
"RVBD_2091c","-"
"RVBD_2092c","helY"
"RVBD_2093c","tatC"
"RVBD_2094c","tatA"
"RVBD_2095c","pafC"
"RVBD_2096c","pafB"
"RVBD_2097c","pafA"
"RVBD_2098c","?"
"RVBD_2099c","?"
"RVBD_2100","-"
"RVBD_2101","helZ"
"RVBD_2102","-"
"RVBD_2103c","vapC37"
"RVBD_2104c","vapB37"
"RVBD_2104Ac","?"
"RVBD_2105","-"
"RVBD_2106","-"
"RVBD_2107","PE22"
"RVBD_2108","PPE36"
"RVBD_2109c","prcA"
"RVBD_2110c","prcB"
"RVBD_2111c","pup"
"RVBD_2112c","dop"
"RVBD_2113","-"
"RVBD_2114","-"
"RVBD_2115c","mpa"
"RVBD_2116","lppK"
"RVBD_2117","-"
"RVBD_2118c","-"
"RVBD_2119","-"
"RVBD_2120c","-"
"RVBD_2121c","hisG"
"RVBD_2122c","hisE"
"RVBD_2123","PPE37"
"RVBD_2124c","metH"
"RVBD_2125","-"
"RVBD_2126c","PE_PGRS37"
"RVBD_2127","ansP1"
"RVBD_2128","-"
"RVBD_2129c","-"
"RVBD_2130c","mshC"
"RVBD_2131c","cysQ"
"RVBD_2132","-"
"RVBD_2132Ac","?"
"RVBD_2133c","-"
"RVBD_2134c","-"
"RVBD_2135c","-"
"RVBD_2136c","-"
"RVBD_2137c","-"
"RVBD_2138","lppL"
"RVBD_2138A","?"
"RVBD_2139","pyrD"
"RVBD_2140c","TB18.6"
"RVBD_2141c","-"
"RVBD_2142c","parE2"
"RVBD_2142Ac","?"
"RVBD_2143","-"
"RVBD_2144c","-"
"RVBD_2145c","wag31"
"RVBD_2146c","-"
"RVBD_2147c","-"
"RVBD_2148c","-"
"RVBD_2149c","yfiH"
"RVBD_2150c","ftsZ"
"RVBD_2151c","ftsQ"
"RVBD_2152c","murC"
"RVBD_2153c","murG"
"RVBD_2154c","ftsW"
"RVBD_2155c","murD"
"RVBD_2156c","murX"
"RVBD_2157c","murF"
"RVBD_2158c","murE"
"RVBD_2159c","-"
"RVBD_2160A","-"
"RVBD_2161c","-"
"RVBD_2162c","PE_PGRS38"
"RVBD_2163c","pbpB"
"RVBD_2164c","-"
"RVBD_2165c","-"
"RVBD_2166c","-"
"RVBD_2167c","-"
"RVBD_2168c","-"
"RVBD_2169c","-"
"RVBD_2170","-"
"RVBD_2171","lppM"
"RVBD_2172c","-"
"RVBD_2173","idsA2"
"RVBD_2174","mptA"
"RVBD_2175c","-"
"RVBD_2176","pknL"
"RVBD_2177c","-"
"RVBD_2178c","aroG"
"RVBD_2179c","-"
"RVBD_2180c","-"
"RVBD_2181","-"
"RVBD_2182c","-"
"RVBD_2183c","-"
"RVBD_2184c","-"
"RVBD_2185c","TB16.3"
"RVBD_2186c","-"
"RVBD_2187","fadD15"
"RVBD_2188c","pimB"
"RVBD_2189c","-"
"RVBD_2190c","-"
"RVBD_2190Ac","?"
"RVBD_2191","-"
"RVBD_2192c","trpD"
"RVBD_2193","ctaE"
"RVBD_2194","qcrC"
"RVBD_2195","qcrA"
"RVBD_2196","qcrB"
"RVBD_2197c","-"
"RVBD_2198c","mmpS3"
"RVBD_2199c","-"
"RVBD_2200c","ctaC"
"RVBD_2201","asnB"
"RVBD_2202c","adoK"
"RVBD_2203","-"
"RVBD_2204c","-"
"RVBD_2205c","-"
"RVBD_2206","-"
"RVBD_2207","cobT"
"RVBD_2208","cobS"
"RVBD_2209","-"
"RVBD_2210c","ilvE"
"RVBD_2211c","gcvT"
"RVBD_2212","-"
"RVBD_2213","pepB"
"RVBD_2214c","ephD"
"RVBD_2215","dlaT"
"RVBD_2216","-"
"RVBD_2217","lipB"
"RVBD_2218","lipA"
"RVBD_2219","-"
"RVBD_2219A","-"
"RVBD_2220","glnA1"
"RVBD_2221c","glnE"
"RVBD_2222c","glnA2"
"RVBD_2223c","-"
"RVBD_2224c","caeA"
"RVBD_2225","panB"
"RVBD_2226","-"
"RVBD_2227","-"
"RVBD_2228c","-"
"RVBD_2229c","-"
"RVBD_2230c","-"
"RVBD_2231c","cobC"
"RVBD_2231Ac","?"
"RVBD_2231Bc","?"
"RVBD_2232","ptkA"
"RVBD_2234","ptpA"
"RVBD_2235","-"
"RVBD_2236c","cobD"
"RVBD_2237","-"
"RVBD_2237Ac","?"
"RVBD_2238c","ahpE"
"RVBD_2239c","-"
"RVBD_2240c","-"
"RVBD_2241","aceE"
"RVBD_2242","-"
"RVBD_2243","fabD"
"RVBD_2244","acpM"
"RVBD_2245","kasA"
"RVBD_2246","kasB"
"RVBD_2247","accD6"
"RVBD_2248","-"
"RVBD_2249c","glpD1"
"RVBD_2250c","-"
"RVBD_2251","-"
"RVBD_2252","-"
"RVBD_2253","-"
"RVBD_2254c","-"
"RVBD_2255c","-"
"RVBD_2255A","?"
"RVBD_2256c","-"
"RVBD_2257c","-"
"RVBD_2258c","-"
"RVBD_2259","mscR"
"RVBD_2260","-"
"RVBD_2261c","-"
"RVBD_2262c","-"
"RVBD_2263","-"
"RVBD_2264c","-"
"RVBD_2265","-"
"RVBD_2266","cyp124"
"RVBD_2267c","-"
"RVBD_2268c","cyp128"
"RVBD_2269c","-"
"RVBD_2270","lppN"
"RVBD_2271","-"
"RVBD_2272","-"
"RVBD_2273","-"
"RVBD_2274c","mazF8"
"RVBD_2274Ac","?"
"RVBD_2275","-"
"RVBD_2276","cyp121"
"RVBD_2277c","-"
"RVBD_2278","-"
"RVBD_2279","-"
"RVBD_2280","-"
"RVBD_2281","pitB"
"RVBD_2282c","-"
"RVBD_2283","-"
"RVBD_2284","lipM"
"RVBD_2285","-"
"RVBD_2286c","-"
"RVBD_2287","yjcE"
"RVBD_2288","-"
"RVBD_2289","cdh"
"RVBD_2290","lppO"
"RVBD_2291","sseB"
"RVBD_2292c","-"
"RVBD_2293c","-"
"RVBD_2294","-"
"RVBD_2295","-"
"RVBD_2296","-"
"RVBD_2297","-"
"RVBD_2298","-"
"RVBD_2299c","htpG"
"RVBD_2300c","-"
"RVBD_2301","cut2"
"RVBD_2302","-"
"RVBD_2303c","-"
"RVBD_2304c","-"
"RVBD_2305","-"
"RVBD_2306A","-"
"RVBD_2306B","-"
"RVBD_2307c","-"
"RVBD_2307A","-"
"RVBD_2307B","-"
"RVBD_2307D","-"
"RVBD_2308","-"
"RVBD_2308X","?"
"RVBD_2308Ac","?"
"RVBD_2309c","-"
"RVBD_2309Xc","?"
"RVBD_2309A","-"
"RVBD_2310","-"
"RVBD_2311","-"
"RVBD_2312","-"
"RVBD_2313c","-"
"RVBD_2314c","-"
"RVBD_2315c","-"
"RVBD_2316","uspA"
"RVBD_2317","uspB"
"RVBD_2318","uspC"
"RVBD_2319c","-"
"RVBD_2320c","rocE"
"RVBD_2321c","rocD2"
"RVBD_2322c","rocD1"
"RVBD_2323c","-"
"RVBD_2324","-"
"RVBD_2325c","-"
"RVBD_2326c","-"
"RVBD_2327","-"
"RVBD_2328","PE23"
"RVBD_2329c","narK1"
"RVBD_2330c","lppP"
"RVBD_2331","-"
"RVBD_2331A","-"
"RVBD_2332","mez"
"RVBD_2333c","stp"
"RVBD_2334","cysK1"
"RVBD_2335","cysE"
"RVBD_2336","-"
"RVBD_2337c","-"
"RVBD_2338c","moeW"
"RVBD_2339","mmpL9"
"RVBD_2340c","PE_PGRS39"
"RVBD_2341","lppQ"
"RVBD_2342","-"
"RVBD_2343c","dnaG"
"RVBD_2344c","dgt"
"RVBD_2345","-"
"RVBD_2346c","esxO"
"RVBD_2347c","esxP"
"RVBD_2348c","-"
"RVBD_2349c","plcC"
"RVBD_2350c","plcB"
"RVBD_2351c","plcA"
"RVBD_2352c","PPE38"
"RVBD_2353c","PPE39"
"RVBD_2354","-"
"RVBD_2355","-"
"RVBD_2356c","PPE40"
"RVBD_2357c","glyS"
"RVBD_2358","smtB"
"RVBD_2359","zur"
"RVBD_2360c","-"
"RVBD_2361c","-"
"RVBD_2362c","recO"
"RVBD_2363","amiA2"
"RVBD_2364c","era"
"RVBD_2365c","-"
"RVBD_2366c","-"
"RVBD_2367c","-"
"RVBD_2368c","phoH1"
"RVBD_2370c","-"
"RVBD_2371","PE_PGRS40"
"RVBD_2371A","?"
"RVBD_2372c","-"
"RVBD_2373c","dnaJ2"
"RVBD_2374c","hrcA"
"RVBD_2375","-"
"RVBD_2376c","cfp2"
"RVBD_2377c","mbtH"
"RVBD_2378c","mbtG"
"RVBD_2379c","mbtF"
"RVBD_2380c","mbtE"
"RVBD_2381c","mbtD"
"RVBD_2382c","mbtC"
"RVBD_2383c","mbtB"
"RVBD_2384","mbtA"
"RVBD_2385","mbtJ"
"RVBD_2386c","mbtI"
"RVBD_2386A","?"
"RVBD_2387","-"
"RVBD_2388c","hemN"
"RVBD_2389c","rpfD"
"RVBD_2390c","-"
"RVBD_2391","sirA"
"RVBD_2392","cysH"
"RVBD_2393","che1"
"RVBD_2394","ggtB"
"RVBD_2395","-"
"RVBD_2396","PE_PGRS41"
"RVBD_2397c","cysA1"
"RVBD_2398c","cysW"
"RVBD_2399c","cysT"
"RVBD_2400c","subI"
"RVBD_2401","-"
"RVBD_2401A","-"
"RVBD_2402","-"
"RVBD_2403c","lppR"
"RVBD_2404c","lepA"
"RVBD_2405","-"
"RVBD_2406c","-"
"RVBD_2407","-"
"RVBD_2408","PE24"
"RVBD_2409c","-"
"RVBD_2410c","-"
"RVBD_2411c","-"
"RVBD_2412","rpsT"
"RVBD_2413c","-"
"RVBD_2414c","-"
"RVBD_2415c","-"
"RVBD_2416c","eis"
"RVBD_2417c","-"
"RVBD_2418c","-"
"RVBD_2419c","gpgP"
"RVBD_2420c","-"
"RVBD_2421c","nadD"
"RVBD_2422","-"
"RVBD_2423","-"
"RVBD_2424c","-"
"RVBD_2425c","-"
"RVBD_2426c","-"
"RVBD_2427c","proA"
"RVBD_2428","ahpC"
"RVBD_2429","ahpD"
"RVBD_2430c","PPE41"
"RVBD_2431c","PE25"
"RVBD_2432c","-"
"RVBD_2433c","-"
"RVBD_2434c","-"
"RVBD_2435c","-"
"RVBD_2436","rbsK"
"RVBD_2437","-"
"RVBD_2438c","nadE"
"RVBD_2438A","-"
"RVBD_2439c","proB"
"RVBD_2440c","obg"
"RVBD_2441c","rpmA"
"RVBD_2442c","rplU"
"RVBD_2443","dctA"
"RVBD_2444c","rne"
"RVBD_2445c","ndkA"
"RVBD_2446c","-"
"RVBD_2447c","folC"
"RVBD_2448c","valS"
"RVBD_2449c","-"
"RVBD_2450c","rpfE"
"RVBD_2451","-"
"RVBD_2452c","-"
"RVBD_2453c","mobA"
"RVBD_2454c","-"
"RVBD_2455c","-"
"RVBD_2456c","-"
"RVBD_2457c","clpX"
"RVBD_2458","mmuM"
"RVBD_2459","-"
"RVBD_2460c","clpP2"
"RVBD_2461c","clpP1"
"RVBD_2462c","tig"
"RVBD_2463","lipP"
"RVBD_2464c","-"
"RVBD_2465c","rpiB"
"RVBD_2466c","-"
"RVBD_2467","pepN"
"RVBD_2468c","-"
"RVBD_2468Ac","?"
"RVBD_2469c","-"
"RVBD_2470","glbO"
"RVBD_2471","aglA"
"RVBD_2472","-"
"RVBD_2473","-"
"RVBD_2474c","-"
"RVBD_2475c","-"
"RVBD_2476c","gdh"
"RVBD_2477c","-"
"RVBD_2478c","-"
"RVBD_2479c","-"
"RVBD_2480c","-"
"RVBD_2481c","-"
"RVBD_2482c","plsB2"
"RVBD_2483c","plsC"
"RVBD_2484c","-"
"RVBD_2485c","lipQ"
"RVBD_2486","echA14"
"RVBD_2487c","PE_PGRS42"
"RVBD_2488c","-"
"RVBD_2489c","-"
"RVBD_2490c","PE_PGRS43"
"RVBD_2490Ac","?"
"RVBD_2491","-"
"RVBD_2492","-"
"RVBD_2493","vapB38"
"RVBD_2494","vapC38"
"RVBD_2495c","bkdC"
"RVBD_2496c","bkdB"
"RVBD_2497c","bkdA"
"RVBD_2498c","citE"
"RVBD_2499c","-"
"RVBD_2500c","fadE19"
"RVBD_2501c","accA1"
"RVBD_2502c","accD1"
"RVBD_2503c","scoB"
"RVBD_2504c","scoA"
"RVBD_2505c","fadD35"
"RVBD_2506","-"
"RVBD_2507","-"
"RVBD_2508c","-"
"RVBD_2509","-"
"RVBD_2510c","-"
"RVBD_2511","orn"
"RVBD_2512c","-"
"RVBD_2512A","?"
"RVBD_2513","-"
"RVBD_2514c","-"
"RVBD_2515c","-"
"RVBD_2516c","-"
"RVBD_2517c","-"
"RVBD_2518c","ldtB"
"RVBD_2519","PE26"
"RVBD_2520c","-"
"RVBD_2521","bcp"
"RVBD_2522c","-"
"RVBD_2523c","acpS"
"RVBD_2524c","fas"
"RVBD_2525c","-"
"RVBD_2526","vapB17"
"RVBD_2527","vapC17"
"RVBD_2528c","mrr"
"RVBD_2529","-"
"RVBD_2530c","vapC39"
"RVBD_2530A","vapB39"
"RVBD_2531c","-"
"RVBD_2532c","-"
"RVBD_2533c","nusB"
"RVBD_2534c","efp"
"RVBD_2535c","pepQ"
"RVBD_2536","-"
"RVBD_2537c","aroD"
"RVBD_2538c","aroB"
"RVBD_2539c","aroK"
"RVBD_2540c","aroF"
"RVBD_2541","-"
"RVBD_2542","-"
"RVBD_2543","lppA"
"RVBD_2544","lppB"
"RVBD_2545","vapB18"
"RVBD_2546","vapC18"
"RVBD_2547","vapB19"
"RVBD_2548","vapC19"
"RVBD_2548Ac","?"
"RVBD_2549c","vapC20"
"RVBD_2550c","vapB20"
"RVBD_2551c","-"
"RVBD_2552c","aroE"
"RVBD_2553c","-"
"RVBD_2554c","-"
"RVBD_2555c","alaS"
"RVBD_2556c","-"
"RVBD_2557","-"
"RVBD_2558","-"
"RVBD_2559c","-"
"RVBD_2560","-"
"RVBD_2561","-"
"RVBD_2563","-"
"RVBD_2564","glnQ"
"RVBD_2565","-"
"RVBD_2566","-"
"RVBD_2567","-"
"RVBD_2568c","-"
"RVBD_2569c","-"
"RVBD_2570","-"
"RVBD_2571c","-"
"RVBD_2572c","aspS"
"RVBD_2573","-"
"RVBD_2574","-"
"RVBD_2575","-"
"RVBD_2576c","-"
"RVBD_2577","-"
"RVBD_2578c","-"
"RVBD_2579","dhaA"
"RVBD_2580c","hisS"
"RVBD_2581c","-"
"RVBD_2582","ppiB"
"RVBD_2583c","relA"
"RVBD_2584c","apt"
"RVBD_2585c","-"
"RVBD_2586c","secF"
"RVBD_2587c","secD"
"RVBD_2588c","yajC"
"RVBD_2589","gabT"
"RVBD_2590","fadD9"
"RVBD_2591","PE_PGRS44"
"RVBD_2592c","ruvB"
"RVBD_2593c","ruvA"
"RVBD_2594c","ruvC"
"RVBD_2595","vapB40"
"RVBD_2596","vapC40"
"RVBD_2597","-"
"RVBD_2598","-"
"RVBD_2599","-"
"RVBD_2600","-"
"RVBD_2601","speE"
"RVBD_2601A","vapB41"
"RVBD_2602","vapC41"
"RVBD_2603c","-"
"RVBD_2604c","snoP"
"RVBD_2605c","tesB2"
"RVBD_2606c","snzP"
"RVBD_2607","pdxH"
"RVBD_2608","PPE42"
"RVBD_2609c","-"
"RVBD_2610c","pimA"
"RVBD_2611c","-"
"RVBD_2612c","pgsA1"
"RVBD_2613c","-"
"RVBD_2614c","thrS"
"RVBD_2614A","-"
"RVBD_2615c","PE_PGRS45"
"RVBD_2616","-"
"RVBD_2617c","-"
"RVBD_2618","-"
"RVBD_2619c","-"
"RVBD_2620c","-"
"RVBD_2621c","-"
"RVBD_2622","-"
"RVBD_2623","TB31.7"
"RVBD_2624c","-"
"RVBD_2625c","-"
"RVBD_2626c","hrp1"
"RVBD_2627c","-"
"RVBD_2628","-"
"RVBD_2629","-"
"RVBD_2630","-"
"RVBD_2631","-"
"RVBD_2632c","-"
"RVBD_2633c","-"
"RVBD_2633Ac","?"
"RVBD_2634c","PE_PGRS46"
"RVBD_2635","-"
"RVBD_2636","-"
"RVBD_2637","dedA"
"RVBD_2638","-"
"RVBD_2639c","-"
"RVBD_2640c","-"
"RVBD_2641","cadI"
"RVBD_2642","-"
"RVBD_2643","arsC"
"RVBD_2643A","?"
"RVBD_2645","-"
"RVBD_2646","-"
"RVBD_2647","-"
"RVBD_2648","-"
"RVBD_2649","-"
"RVBD_2650c","-"
"RVBD_2651c","-"
"RVBD_2652c","-"
"RVBD_2653c","-"
"RVBD_2654c","-"
"RVBD_2655c","-"
"RVBD_2656c","-"
"RVBD_2657c","-"
"RVBD_2658c","-"
"RVBD_2659c","-"
"RVBD_2660c","-"
"RVBD_2661c","-"
"RVBD_2662","-"
"RVBD_2663","-"
"RVBD_2664","-"
"RVBD_2665","-"
"RVBD_2666","-"
"RVBD_2667","clpC2"
"RVBD_2668","-"
"RVBD_2669","-"
"RVBD_2670c","-"
"RVBD_2671","ribD"
"RVBD_2672","-"
"RVBD_2673","aftC"
"RVBD_2674","msrB"
"RVBD_2675c","-"
"RVBD_2676c","-"
"RVBD_2677c","hemY"
"RVBD_2678c","hemE"
"RVBD_2679","echA15"
"RVBD_2680","-"
"RVBD_2681","-"
"RVBD_2682c","dxs1"
"RVBD_2683","-"
"RVBD_2684","arsA"
"RVBD_2685","arsB1"
"RVBD_2686c","-"
"RVBD_2687c","-"
"RVBD_2688c","-"
"RVBD_2689c","-"
"RVBD_2690c","-"
"RVBD_2691","ceoB"
"RVBD_2692","ceoC"
"RVBD_2693c","-"
"RVBD_2694c","-"
"RVBD_2695","-"
"RVBD_2696c","-"
"RVBD_2697c","dut"
"RVBD_2698","-"
"RVBD_2699c","-"
"RVBD_2700","-"
"RVBD_2701c","suhB"
"RVBD_2702","ppgK"
"RVBD_2703","sigA"
"RVBD_2704","-"
"RVBD_2705c","-"
"RVBD_2706c","-"
"RVBD_2707","-"
"RVBD_2708c","-"
"RVBD_2709","-"
"RVBD_2710","sigB"
"RVBD_2711","ideR"
"RVBD_2712c","-"
"RVBD_2713","sthA"
"RVBD_2714","-"
"RVBD_2715","-"
"RVBD_2716","-"
"RVBD_2717c","-"
"RVBD_2718c","nrdR"
"RVBD_2719c","-"
"RVBD_2720","lexA"
"RVBD_2721c","-"
"RVBD_2722","-"
"RVBD_2723","-"
"RVBD_2724c","fadE20"
"RVBD_2725c","hflX"
"RVBD_2726c","dapF"
"RVBD_2727c","miaA"
"RVBD_2728c","-"
"RVBD_2729c","-"
"RVBD_2730","-"
"RVBD_2731","-"
"RVBD_2732c","-"
"RVBD_2733c","-"
"RVBD_2734","-"
"RVBD_2735c","-"
"RVBD_2736c","recX"
"RVBD_2737c","recA"
"RVBD_2737A","-"
"RVBD_2738c","-"
"RVBD_2739c","-"
"RVBD_2740","ephG"
"RVBD_2741","PE_PGRS47"
"RVBD_2742c","-"
"RVBD_2743c","-"
"RVBD_2744c","35kd_ag"
"RVBD_2745c","clgR"
"RVBD_2746c","pgsA3"
"RVBD_2747","argA"
"RVBD_2748c","ftsK"
"RVBD_2749","-"
"RVBD_2750","-"
"RVBD_2751","-"
"RVBD_2752c","-"
"RVBD_2753c","dapA"
"RVBD_2754c","thyX"
"RVBD_2755c","hsdS.1"
"RVBD_2756c","hsdM"
"RVBD_2757c","vapC21"
"RVBD_2758c","vapB21"
"RVBD_2759c","vapC42"
"RVBD_2760c","vapB42"
"RVBD_2761c","hsdS"
"RVBD_2762c","-"
"RVBD_2763c","dfrA"
"RVBD_2764c","thyA"
"RVBD_2765","-"
"RVBD_2766c","-"
"RVBD_2767c","-"
"RVBD_2768c","PPE43"
"RVBD_2769c","PE27"
"RVBD_2770c","PPE44"
"RVBD_2771c","-"
"RVBD_2771Ac","?"
"RVBD_2772c","-"
"RVBD_2773c","dapB"
"RVBD_2774c","-"
"RVBD_2775","-"
"RVBD_2776c","-"
"RVBD_2777c","-"
"RVBD_2778c","-"
"RVBD_2779c","-"
"RVBD_2780","ald"
"RVBD_2781c","-"
"RVBD_2782c","pepR"
"RVBD_2783c","gpsI"
"RVBD_2784c","lppU"
"RVBD_2785c","rpsO"
"RVBD_2786c","ribF"
"RVBD_2787","-"
"RVBD_2788","sirR"
"RVBD_2789c","fadE21"
"RVBD_2790c","ltp1"
"RVBD_2791c","-"
"RVBD_2792c","-"
"RVBD_2793c","truB"
"RVBD_2794c","pptT"
"RVBD_2795c","-"
"RVBD_2796c","lppV"
"RVBD_2797c","-"
"RVBD_2798c","-"
"RVBD_2799","-"
"RVBD_2800","-"
"RVBD_2801c","mazF9"
"RVBD_2801Ac","?"
"RVBD_2802c","-"
"RVBD_2803","-"
"RVBD_2804c","-"
"RVBD_2805","-"
"RVBD_2806","-"
"RVBD_2807","-"
"RVBD_2808","-"
"RVBD_2809","-"
"RVBD_2810c","-"
"RVBD_2811","-"
"RVBD_2812","-"
"RVBD_2813","-"
"RVBD_2814c","-"
"RVBD_2815c","-"
"RVBD_2815Ac","?"
"RVBD_2815Bc","?"
"RVBD_2816c","-"
"RVBD_2817c","-"
"RVBD_2818c","-"
"RVBD_2819c","-"
"RVBD_2820c","-"
"RVBD_2821c","-"
"RVBD_2822c","-"
"RVBD_2823c","-"
"RVBD_2824c","-"
"RVBD_2825c","-"
"RVBD_2826c","-"
"RVBD_2827c","-"
"RVBD_2828c","-"
"RVBD_2828Ac","?"
"RVBD_2829c","vapC22"
"RVBD_2830c","vapB22"
"RVBD_2831","echA16"
"RVBD_2832c","ugpC"
"RVBD_2833c","ugpB"
"RVBD_2834c","ugpE"
"RVBD_2835c","ugpA"
"RVBD_2836c","dinF"
"RVBD_2837c","-"
"RVBD_2838c","rbfA"
"RVBD_2839c","infB"
"RVBD_2840c","-"
"RVBD_2841c","nusA"
"RVBD_2842c","-"
"RVBD_2843","-"
"RVBD_2844","-"
"RVBD_2845c","proS"
"RVBD_2846c","efpA"
"RVBD_2847c","cysG"
"RVBD_2848c","cobB"
"RVBD_2849c","cobO"
"RVBD_2850c","-"
"RVBD_2851c","-"
"RVBD_2852c","mqo"
"RVBD_2853","PE_PGRS48"
"RVBD_2854","-"
"RVBD_2855","mtr"
"RVBD_2856","nicT"
"RVBD_2856A","?"
"RVBD_2856B","?"
"RVBD_2857c","-"
"RVBD_2858c","aldC"
"RVBD_2859c","-"
"RVBD_2860c","glnA4"
"RVBD_2861c","mapB"
"RVBD_2862c","-"
"RVBD_2862A","vapB23"
"RVBD_2863","vapC23"
"RVBD_2864c","-"
"RVBD_2865","relF"
"RVBD_2866","relG"
"RVBD_2867c","-"
"RVBD_2868c","gcpE"
"RVBD_2869c","rip"
"RVBD_2870c","dxr"
"RVBD_2871","vapB43"
"RVBD_2872","vapC43"
"RVBD_2873","mpt83"
"RVBD_2873A","?"
"RVBD_2874","dipZ"
"RVBD_2875","mpt70"
"RVBD_2876","-"
"RVBD_2877c","-"
"RVBD_2878c","mpt53"
"RVBD_2881c","cdsA"
"RVBD_2882c","frr"
"RVBD_2882Ac","?"
"RVBD_2883c","pyrH"
"RVBD_2884","-"
"RVBD_2885c","-"
"RVBD_2886c","-"
"RVBD_2887","-"
"RVBD_2888c","amiC"
"RVBD_2889c","tsf"
"RVBD_2890c","rpsB"
"RVBD_2891","-"
"RVBD_2892c","PPE45"
"RVBD_2893","-"
"RVBD_2894c","xerC"
"RVBD_2895c","viuB"
"RVBD_2896c","-"
"RVBD_2897c","-"
"RVBD_2898c","-"
"RVBD_2899c","fdhD"
"RVBD_2900c","fdhF"
"RVBD_2901c","-"
"RVBD_2902c","rnhB"
"RVBD_2903c","lepB"
"RVBD_2904c","rplS"
"RVBD_2905","lppW"
"RVBD_2906c","trmD"
"RVBD_2907c","rimM"
"RVBD_2908c","-"
"RVBD_2909c","rpsP"
"RVBD_2910c","-"
"RVBD_2911","dacB2"
"RVBD_2912c","-"
"RVBD_2913c","-"
"RVBD_2914c","pknI"
"RVBD_2915c","-"
"RVBD_2916c","ffh"
"RVBD_2917","-"
