"","gene"
"RVBD_0517","-"
"RVBD_0518","-"
"RVBD_0519c","-"
"RVBD_0520","-"
"RVBD_0521","-"
"RVBD_0522","gabP"
"RVBD_0523c","-"
"RVBD_0524","hemL"
"RVBD_0525","-"
"RVBD_0526","-"
"RVBD_0527","ccdA"
"RVBD_0528","-"
"RVBD_0529","ccsA"
"RVBD_0530","-"
"RVBD_0531","-"
"RVBD_0532","PE_PGRS6"
"RVBD_0533c","fabH"
"RVBD_0534c","menA"
"RVBD_0535","pnp"
"RVBD_0536","galE3"
"RVBD_0537c","-"
"RVBD_0538","-"
"RVBD_0539","-"
"RVBD_0540","-"
"RVBD_0541c","-"
"RVBD_0542c","menE"
"RVBD_0543c","-"
"RVBD_0544c","-"
"RVBD_0545c","pitA"
"RVBD_0546c","-"
"RVBD_0547c","-"
"RVBD_0548c","menB"
"RVBD_0549c","vapC3"
"RVBD_0550c","vapB3"
"RVBD_0551c","fadD8"
"RVBD_0552","-"
"RVBD_0553","menC"
"RVBD_0554","bpoC"
"RVBD_0555","menD"
"RVBD_0556","-"
"RVBD_0557","mgtA"
"RVBD_0558","menH"
"RVBD_0559c","-"
"RVBD_0560c","-"
"RVBD_0561c","-"
"RVBD_0562","grcC1"
"RVBD_0563","htpX"
"RVBD_0564c","gpdA1"
"RVBD_0565c","-"
"RVBD_0566c","-"
"RVBD_0567","-"
"RVBD_0568","cyp135B1"
"RVBD_0569","-"
"RVBD_0570","nrdZ"
"RVBD_0571c","-"
"RVBD_0571Ac","?"
"RVBD_0572c","-"
"RVBD_0573c","pncB2"
"RVBD_0574c","-"
"RVBD_0575c","-"
"RVBD_0576","-"
"RVBD_0577","TB27.3"
"RVBD_0578c","PE_PGRS7"
"RVBD_0579","-"
"RVBD_0580c","-"
"RVBD_0581","vapB26"
"RVBD_0582","vapC26"
"RVBD_0583c","lpqN"
"RVBD_0584","-"
"RVBD_0585c","-"
"RVBD_0586","mce2R"
"RVBD_0587","yrbE2A"
"RVBD_0588","yrbE2B"
"RVBD_0589","mce2A"
"RVBD_0590","mce2B"
"RVBD_0590A","-"
"RVBD_0591","mce2C"
"RVBD_0592","mce2D"
"RVBD_0593","lprL"
"RVBD_0594","mce2F"
"RVBD_0595c","vapC4"
"RVBD_0596c","vapB4"
"RVBD_0597c","-"
"RVBD_0597A","?"
"RVBD_0598c","vapC27"
"RVBD_0599c","vapB27"
"RVBD_0600c","-"
"RVBD_0601c","-"
"RVBD_0602c","tcrA"
"RVBD_0603","-"
"RVBD_0604","lpqO"
"RVBD_0605","-"
"RVBD_0606","-"
"RVBD_0607","-"
"RVBD_0608","vapB28"
"RVBD_0609","vapC28"
"RVBD_0609A","-"
"RVBD_0609Bc","?"
"RVBD_0610c","-"
"RVBD_0611c","-"
"RVBD_0612","-"
"RVBD_0613c","-"
"RVBD_0614","-"
"RVBD_0615","-"
"RVBD_0616c","-"
"RVBD_0616A","vapB29"
"RVBD_0617","vapC29"
"RVBD_0618","galTa"
"RVBD_0619","galTb"
"RVBD_0620","galK"
"RVBD_0621","-"
"RVBD_0622","-"
"RVBD_0623","vapB30"
"RVBD_0624","vapC30"
"RVBD_0625c","-"
"RVBD_0626","vapB5"
"RVBD_0627","vapC5"
"RVBD_0628c","-"
"RVBD_0629c","recD"
"RVBD_0630c","recB"
"RVBD_0631c","recC"
"RVBD_0632c","echA3"
"RVBD_0633c","-"
"RVBD_0634c","-"
"RVBD_0634A","-"
"RVBD_0634B","rpmG2"
"RVBD_0635","hadA"
"RVBD_0636","hadB"
"RVBD_0637","hadC"
"RVBD_0638","secE1"
"RVBD_0639","nusG"
"RVBD_0640","rplK"
"RVBD_0641","rplA"
"RVBD_0642c","mmaA4"
"RVBD_0643c","mmaA3"
"RVBD_0644c","mmaA2"
"RVBD_0645c","mmaA1"
"RVBD_0646c","lipG"
"RVBD_0647c","-"
"RVBD_0648","-"
"RVBD_0649","fabD2"
"RVBD_0650","-"
"RVBD_0651","rplJ"
"RVBD_0652","rplL"
"RVBD_0653c","-"
"RVBD_0654","-"
"RVBD_0655","mkl"
"RVBD_0656c","vapC6"
"RVBD_0657c","vapB6"
"RVBD_0658c","-"
"RVBD_0659c","mazF2"
"RVBD_0660c","mazE2"
"RVBD_0661c","vapC7"
"RVBD_0662c","vapB7"
"RVBD_0663","atsD"
"RVBD_0664","vapB8"
"RVBD_0665","vapC8"
"RVBD_0666","-"
"RVBD_0666A","?"
"RVBD_0667","rpoB"
"RVBD_0668","rpoC"
"RVBD_0668Ac","?"
"RVBD_0669c","-"
"RVBD_0670","end"
"RVBD_0671","lpqP"
"RVBD_0672","fadE8"
"RVBD_0673","echA4"
"RVBD_0674","-"
"RVBD_0675","echA5"
"RVBD_0676c","mmpL5"
"RVBD_0677c","mmpS5"
"RVBD_0678","-"
"RVBD_0679c","-"
"RVBD_0680c","-"
"RVBD_0681","-"
"RVBD_0682","rpsL"
"RVBD_0683","rpsG"
"RVBD_0684","fusA1"
"RVBD_0685","tuf"
"RVBD_0686","-"
"RVBD_0687","-"
"RVBD_0688","-"
"RVBD_0689c","-"
"RVBD_0690c","-"
"RVBD_0691c","-"
"RVBD_0691A","-"
"RVBD_0692","-"
"RVBD_0693","pqqE"
"RVBD_0694","lldD1"
"RVBD_0695","-"
"RVBD_0696","-"
"RVBD_0697","-"
"RVBD_0698","-"
"RVBD_0699","-"
"RVBD_0700","rpsJ"
"RVBD_0701","rplC"
"RVBD_0702","rplD"
"RVBD_0703","rplW"
